modulename|developers|company|client|copyright|license
31-style-mono-amber.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
22-style-redalert.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
32-style-mono-blue.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
11-style-steelblue.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
23-style-psychedelic.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
10-style-dark.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
30-style-mono-green.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
20-style-testadura.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
00-style-default.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
default-ui-palette.sh|Mark Fieten|Testadura Consultancy|-|© 2025 - 2026 Testadura Consultancy|Licensed under the Testadura Non-Commercial License (TD-NC) v1.1.
